costo_id,reserva_id,comision_artista_clp,insumos_clp,marketing_atribuido_clp,costo_fijo_estimado_clp,costo_total_clp,ganancia_estimada_clp
COST-0002,BOOK-0002,22000,15500,2500,6500,46500,-1500
COST-0003,BOOK-0003,68000,29000,500,14500,112000,23000
COST-0008,BOOK-0008,58000,29500,0,19500,107000,13000
COST-0010,BOOK-0010,33000,18000,1000,8000,60000,5000
COST-0011,BOOK-0011,36000,13500,2500,6500,58500,6500
COST-0013,BOOK-0013,55000,22500,1500,14500,93500,11500
COST-0018,BOOK-0018,250000,52500,2500,39000,344000,111000
COST-0023,BOOK-0023,35000,16500,2500,6500,60500,9500
COST-0028,BOOK-0028,77000,34500,500,23000,135000,35000
COST-0029,BOOK-0029,48000,22000,1000,11500,82500,12500
COST-0031,BOOK-0031,35000,17000,2500,8000,62500,7500
COST-0032,BOOK-0032,22000,17000,2500,6500,48000,-3000
COST-0042,BOOK-0042,70000,29500,0,14500,114000,21000
COST-0052,BOOK-0052,22000,12500,2500,5000,42000,3000
COST-0060,BOOK-0060,19000,12500,0,5000,36500,3500
COST-0061,BOOK-0061,149000,42500,2500,29500,223500,46500
COST-0065,BOOK-0065,57000,22500,2500,14500,96500,13500
COST-0067,BOOK-0067,173000,38500,500,29500,241500,73500
COST-0069,BOOK-0069,88000,43000,2500,23000,156500,18500
COST-0070,BOOK-0070,176000,55500,1500,36000,269000,51000
COST-0076,BOOK-0076,229000,69000,1000,39000,338000,102000
COST-0081,BOOK-0081,41000,15500,1000,8000,65500,9500
COST-0085,BOOK-0085,135000,42000,1500,23000,201500,43500
COST-0090,BOOK-0090,58000,20000,0,11500,89500,25500
COST-0092,BOOK-0092,22000,18500,500,8000,49000,-4000
COST-0093,BOOK-0093,45000,21500,2500,11500,80500,9500
COST-0095,BOOK-0095,38000,23000,1000,14500,76500,8500
COST-0097,BOOK-0097,58000,35000,2500,19500,115000,5000
COST-0104,BOOK-0104,18000,14000,1000,5000,38000,2000
COST-0105,BOOK-0105,96000,24000,0,14500,134500,40500
COST-0110,BOOK-0110,91000,28500,0,19500,139000,36000
COST-0113,BOOK-0113,41000,19500,2500,11500,74500,15500
COST-0115,BOOK-0115,94000,28500,0,19500,142000,38000
COST-0118,BOOK-0118,43000,22500,500,14500,80500,9500
COST-0119,BOOK-0119,120000,43000,1000,32500,196500,53500
COST-0121,BOOK-0121,22000,18500,2500,8000,51000,-6000
COST-0122,BOOK-0122,29000,17000,500,8000,54500,5500
COST-0123,BOOK-0123,69000,22500,2500,11500,105500,19500
COST-0126,BOOK-0126,137000,58500,0,36000,231500,53500
COST-0127,BOOK-0127,123000,40500,2500,23000,189000,56000
COST-0128,BOOK-0128,18000,12000,2500,5000,37500,2500
COST-0131,BOOK-0131,43000,23000,0,14500,80500,9500
COST-0132,BOOK-0132,18000,12500,2500,5000,38000,2000
COST-0135,BOOK-0135,118000,56000,1000,36000,211000,24000
COST-0139,BOOK-0139,70000,38000,2500,19500,130000,15000
COST-0142,BOOK-0142,26000,16500,0,8000,50500,4500
COST-0145,BOOK-0145,36000,15500,1000,8000,60500,14500
COST-0146,BOOK-0146,102000,33000,500,19500,155000,30000
COST-0147,BOOK-0147,38000,23500,0,14500,76000,9000
COST-0148,BOOK-0148,115000,54500,0,32500,202000,53000
COST-0149,BOOK-0149,25000,14500,0,6500,46000,4000
COST-0155,BOOK-0155,80000,23000,2500,14500,120000,25000
COST-0158,BOOK-0158,91000,35500,500,19500,146500,28500
COST-0159,BOOK-0159,47000,23000,1500,11500,83000,7000
COST-0160,BOOK-0160,101000,51500,1500,29500,183500,26500
COST-0162,BOOK-0162,45000,24000,0,11500,80500,9500
COST-0164,BOOK-0164,22000,13000,2500,5000,42500,2500
COST-0170,BOOK-0170,28000,12000,1500,5000,46500,8500
COST-0171,BOOK-0171,83000,32000,1500,19500,136000,29000
COST-0172,BOOK-0172,98000,54500,0,36000,188500,16500
COST-0173,BOOK-0173,80000,27000,2500,14500,124000,21000
COST-0174,BOOK-0174,105000,45000,500,29500,180000,10000
COST-0175,BOOK-0175,49000,23000,0,14500,86500,8500
COST-0178,BOOK-0178,120000,39000,1500,23000,183500,46500
COST-0179,BOOK-0179,261000,50500,1500,39000,352000,123000
COST-0181,BOOK-0181,38000,18000,1000,8000,65000,10000
COST-0186,BOOK-0186,18000,16000,1500,6500,42000,-2000
COST-0187,BOOK-0187,175000,50000,0,36000,261000,89000
COST-0190,BOOK-0190,132000,51500,1000,29500,214000,26000
COST-0195,BOOK-0195,75000,29500,1500,14500,120500,24500
COST-0196,BOOK-0196,21000,14000,500,5000,40500,-500
COST-0199,BOOK-0199,72000,31000,2500,19500,125000,5000
COST-0200,BOOK-0200,41000,19000,1000,11500,72500,12500
COST-0202,BOOK-0202,58000,22500,1000,11500,93000,22000
COST-0207,BOOK-0207,36000,20000,0,11500,67500,12500
COST-0209,BOOK-0209,52000,22500,1000,11500,87000,13000
COST-0215,BOOK-0215,20000,12000,500,5000,37500,2500
COST-0217,BOOK-0217,30000,18500,1500,8000,58000,2000
COST-0218,BOOK-0218,134000,52500,1500,32500,220500,59500
COST-0219,BOOK-0219,83000,27000,1000,14500,125500,34500
COST-0224,BOOK-0224,94000,31000,500,19500,145000,35000
COST-0227,BOOK-0227,50000,24500,0,14500,89000,16000
COST-0232,BOOK-0232,96000,28500,1000,19500,145000,30000
COST-0233,BOOK-0233,38000,32500,1000,19500,91000,-6000
