feedback_id,reserva_id,cliente_id,rating,recomendaria,hubo_reclamo,comentario
FBK-0002,BOOK-0002,CLI-0002,4,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0003,BOOK-0003,CLI-0003,4.9,si,no,Muy buena experiencia
FBK-0008,BOOK-0008,CLI-0008,4.4,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0010,BOOK-0010,CLI-0010,4.2,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0011,BOOK-0011,CLI-0011,4.1,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0013,BOOK-0013,CLI-0013,4.2,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0018,BOOK-0018,CLI-0018,4.8,si,si,Muy buena experiencia
FBK-0023,BOOK-0023,CLI-0023,3.9,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0028,BOOK-0028,CLI-0028,4.9,si,si,Muy buena experiencia
FBK-0029,BOOK-0029,CLI-0029,4.1,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0031,BOOK-0031,CLI-0031,4.6,si,no,Muy buena experiencia
FBK-0042,BOOK-0042,CLI-0042,4.2,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0052,BOOK-0052,CLI-0052,4.1,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0060,BOOK-0060,CLI-0060,4.6,si,no,Muy buena experiencia
FBK-0061,BOOK-0061,CLI-0061,3.9,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0065,BOOK-0065,CLI-0065,4.5,no,no,Muy buena experiencia
FBK-0067,BOOK-0067,CLI-0067,4.8,si,no,Muy buena experiencia
FBK-0069,BOOK-0069,CLI-0069,4.7,si,no,Muy buena experiencia
FBK-0070,BOOK-0070,CLI-0070,4.4,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0076,BOOK-0076,CLI-0076,4.9,si,no,Muy buena experiencia
FBK-0081,BOOK-0081,CLI-0081,4.1,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0085,BOOK-0085,CLI-0085,4.5,no,no,Muy buena experiencia
FBK-0090,BOOK-0090,CLI-0090,4.5,no,no,Muy buena experiencia
FBK-0092,BOOK-0092,CLI-0092,5,si,no,Muy buena experiencia
FBK-0097,BOOK-0097,CLI-0097,4.6,si,no,Muy buena experiencia
FBK-0104,BOOK-0104,CLI-0104,4.7,si,no,Muy buena experiencia
FBK-0105,BOOK-0105,CLI-0105,5,si,no,Muy buena experiencia
FBK-0113,BOOK-0113,CLI-0113,4.6,si,no,Muy buena experiencia
FBK-0115,BOOK-0115,CLI-0115,5,si,no,Muy buena experiencia
FBK-0118,BOOK-0118,CLI-0118,4.4,no,si,"Buena experiencia, con puntos por mejorar"
FBK-0119,BOOK-0119,CLI-0119,4.1,no,no,"Buena experiencia, con puntos por mejorar"
FBK-0122,BOOK-0122,CLI-0122,4.9,si,no,Muy buena experiencia
FBK-0123,BOOK-0123,CLI-0123,4.6,si,no,Muy buena experiencia
FBK-0126,BOOK-0126,CLI-0126,4.7,si,no,Muy buena experiencia
FBK-0127,BOOK-0127,CLI-0127,4.6,si,no,Muy buena experiencia
FBK-0128,BOOK-0128,CLI-0128,4.5,no,no,Muy buena experiencia
