pago_id,reserva_id,fecha_pago,monto_clp,tipo_pago,metodo_pago
PAY-0002,BOOK-0002,2026-06-01,15000,abono,credito
PAY-0002-SALDO,BOOK-0002,2026-06-04,30000,saldo final,credito
PAY-0003,BOOK-0003,2026-06-12,40000,abono,credito
PAY-0003-SALDO,BOOK-0003,2026-06-16,95000,saldo final,credito
PAY-0008,BOOK-0008,2026-05-21,30000,abono,credito
PAY-0008-SALDO,BOOK-0008,2026-05-26,90000,saldo final,credito
PAY-0010,BOOK-0010,2026-05-20,25000,abono,efectivo
PAY-0010-SALDO,BOOK-0010,2026-05-23,40000,saldo final,efectivo
PAY-0011,BOOK-0011,2026-05-20,20000,abono,transferencia
PAY-0011-SALDO,BOOK-0011,2026-05-23,45000,saldo final,transferencia
PAY-0013,BOOK-0013,2026-05-24,30000,abono,efectivo
PAY-0013-SALDO,BOOK-0013,2026-05-27,75000,saldo final,efectivo
PAY-0018,BOOK-0018,2026-05-17,95000,abono,credito
PAY-0018-SALDO,BOOK-0018,2026-05-20,360000,saldo final,credito
PAY-0023,BOOK-0023,2026-05-20,25000,abono,credito
PAY-0023-SALDO,BOOK-0023,2026-05-23,45000,saldo final,credito
PAY-0028,BOOK-0028,2026-06-06,50000,abono,debito
PAY-0028-SALDO,BOOK-0028,2026-06-09,120000,saldo final,debito
PAY-0029,BOOK-0029,2026-06-03,30000,abono,efectivo
PAY-0029-SALDO,BOOK-0029,2026-06-06,65000,saldo final,efectivo
PAY-0031,BOOK-0031,2026-05-22,25000,abono,credito
PAY-0031-SALDO,BOOK-0031,2026-05-26,45000,saldo final,credito
PAY-0032,BOOK-0032,2026-06-04,15000,abono,efectivo
PAY-0042,BOOK-0042,2026-06-19,40000,abono,credito
PAY-0042-SALDO,BOOK-0042,2026-06-23,95000,saldo final,credito
PAY-0052,BOOK-0052,2026-06-03,15000,abono,credito
PAY-0052-SALDO,BOOK-0052,2026-06-06,30000,saldo final,credito
PAY-0060,BOOK-0060,2026-05-18,15000,abono,efectivo
PAY-0060-SALDO,BOOK-0060,2026-05-21,25000,saldo final,efectivo
PAY-0061,BOOK-0061,2026-05-25,55000,abono,debito
PAY-0061-SALDO,BOOK-0061,2026-05-28,215000,saldo final,debito
PAY-0065,BOOK-0065,2026-05-26,30000,abono,credito
PAY-0065-SALDO,BOOK-0065,2026-05-29,80000,saldo final,credito
PAY-0067,BOOK-0067,2026-05-18,75000,abono,credito
PAY-0067-SALDO,BOOK-0067,2026-05-21,240000,saldo final,credito
PAY-0069,BOOK-0069,2026-05-29,50000,abono,efectivo
PAY-0069-SALDO,BOOK-0069,2026-06-02,125000,saldo final,efectivo
PAY-0070,BOOK-0070,2026-06-17,75000,abono,transferencia
PAY-0070-SALDO,BOOK-0070,2026-06-20,245000,saldo final,transferencia
PAY-0076,BOOK-0076,2026-06-05,95000,abono,debito
PAY-0076-SALDO,BOOK-0076,2026-06-09,345000,saldo final,debito
PAY-0081,BOOK-0081,2026-06-14,25000,abono,efectivo
PAY-0081-SALDO,BOOK-0081,2026-06-17,50000,saldo final,efectivo
PAY-0085,BOOK-0085,2026-06-11,55000,abono,debito
PAY-0085-SALDO,BOOK-0085,2026-06-16,190000,saldo final,debito
PAY-0090,BOOK-0090,2026-05-16,30000,abono,debito
PAY-0090-SALDO,BOOK-0090,2026-05-19,85000,saldo final,debito
PAY-0092,BOOK-0092,2026-05-23,15000,abono,credito
PAY-0092-SALDO,BOOK-0092,2026-05-26,30000,saldo final,credito
PAY-0093,BOOK-0093,2026-06-17,25000,abono,credito
PAY-0095,BOOK-0095,2026-06-19,30000,abono,transferencia
PAY-0097,BOOK-0097,2026-06-15,35000,abono,debito
PAY-0097-SALDO,BOOK-0097,2026-06-18,85000,saldo final,debito
PAY-0104,BOOK-0104,2026-06-05,15000,abono,efectivo
PAY-0104-SALDO,BOOK-0104,2026-06-09,25000,saldo final,efectivo
PAY-0105,BOOK-0105,2026-06-01,45000,abono,efectivo
PAY-0105-SALDO,BOOK-0105,2026-06-04,130000,saldo final,efectivo
PAY-0110,BOOK-0110,2026-05-13,45000,abono,debito
PAY-0113,BOOK-0113,2026-05-31,30000,abono,debito
PAY-0113-SALDO,BOOK-0113,2026-06-03,60000,saldo final,debito
PAY-0115,BOOK-0115,2026-05-31,50000,abono,transferencia
PAY-0115-SALDO,BOOK-0115,2026-06-03,130000,saldo final,transferencia
PAY-0118,BOOK-0118,2026-06-07,30000,abono,debito
PAY-0118-SALDO,BOOK-0118,2026-06-10,60000,saldo final,debito
PAY-0119,BOOK-0119,2026-05-20,55000,abono,transferencia
PAY-0119-SALDO,BOOK-0119,2026-05-23,195000,saldo final,transferencia
PAY-0121,BOOK-0121,2026-05-20,15000,abono,efectivo
PAY-0122,BOOK-0122,2026-06-05,20000,abono,transferencia
PAY-0122-SALDO,BOOK-0122,2026-06-09,40000,saldo final,transferencia
PAY-0123,BOOK-0123,2026-05-15,35000,abono,efectivo
PAY-0123-SALDO,BOOK-0123,2026-05-19,90000,saldo final,efectivo
PAY-0126,BOOK-0126,2026-05-16,60000,abono,credito
PAY-0126-SALDO,BOOK-0126,2026-05-19,225000,saldo final,credito
PAY-0127,BOOK-0127,2026-06-02,50000,abono,debito
PAY-0127-SALDO,BOOK-0127,2026-06-05,195000,saldo final,debito
PAY-0128,BOOK-0128,2026-05-31,15000,abono,efectivo
PAY-0128-SALDO,BOOK-0128,2026-06-03,25000,saldo final,efectivo
PAY-0131,BOOK-0131,2026-05-30,30000,abono,debito
PAY-0131-SALDO,BOOK-0131,2026-06-02,60000,saldo final,debito
PAY-0132,BOOK-0132,2026-06-06,15000,abono,credito
PAY-0132-SALDO,BOOK-0132,2026-06-09,25000,saldo final,credito
PAY-0135,BOOK-0135,2026-06-17,50000,abono,debito
PAY-0135-SALDO,BOOK-0135,2026-06-23,185000,saldo final,debito
PAY-0139,BOOK-0139,2026-05-17,40000,abono,transferencia
PAY-0139-SALDO,BOOK-0139,2026-05-20,105000,saldo final,transferencia
PAY-0142,BOOK-0142,2026-06-13,20000,abono,efectivo
PAY-0142-SALDO,BOOK-0142,2026-06-16,35000,saldo final,efectivo
PAY-0145,BOOK-0145,2026-05-15,25000,abono,credito
PAY-0145-SALDO,BOOK-0145,2026-05-20,50000,saldo final,credito
PAY-0146,BOOK-0146,2026-05-30,50000,abono,credito
PAY-0146-SALDO,BOOK-0146,2026-06-02,135000,saldo final,credito
PAY-0147,BOOK-0147,2026-06-10,30000,abono,debito
PAY-0147-SALDO,BOOK-0147,2026-06-13,55000,saldo final,debito
PAY-0148,BOOK-0148,2026-05-17,55000,abono,credito
PAY-0149,BOOK-0149,2026-05-20,15000,abono,transferencia
PAY-0155,BOOK-0155,2026-05-24,40000,abono,transferencia
PAY-0155-SALDO,BOOK-0155,2026-05-27,105000,saldo final,transferencia
PAY-0158,BOOK-0158,2026-06-18,50000,abono,efectivo
PAY-0158-SALDO,BOOK-0158,2026-06-23,125000,saldo final,efectivo
PAY-0159,BOOK-0159,2026-05-26,30000,abono,credito
PAY-0159-SALDO,BOOK-0159,2026-05-29,60000,saldo final,credito
PAY-0160,BOOK-0160,2026-05-24,45000,abono,debito
PAY-0160-SALDO,BOOK-0160,2026-05-27,165000,saldo final,debito
PAY-0162,BOOK-0162,2026-06-10,30000,abono,efectivo
PAY-0162-SALDO,BOOK-0162,2026-06-13,60000,saldo final,efectivo
PAY-0164,BOOK-0164,2026-05-25,15000,abono,efectivo
PAY-0164-SALDO,BOOK-0164,2026-05-28,30000,saldo final,efectivo
PAY-0170,BOOK-0170,2026-05-29,20000,abono,efectivo
PAY-0170-SALDO,BOOK-0170,2026-06-02,35000,saldo final,efectivo
PAY-0171,BOOK-0171,2026-06-06,45000,abono,transferencia
PAY-0172,BOOK-0172,2026-06-13,55000,abono,efectivo
PAY-0172-SALDO,BOOK-0172,2026-06-17,150000,saldo final,efectivo
PAY-0173,BOOK-0173,2026-06-02,40000,abono,debito
PAY-0173-SALDO,BOOK-0173,2026-06-05,105000,saldo final,debito
PAY-0174,BOOK-0174,2026-05-29,55000,abono,debito
PAY-0175,BOOK-0175,2026-05-22,25000,abono,credito
PAY-0175-SALDO,BOOK-0175,2026-05-26,70000,saldo final,credito
PAY-0178,BOOK-0178,2026-05-19,50000,abono,credito
PAY-0178-SALDO,BOOK-0178,2026-05-22,180000,saldo final,credito
PAY-0179,BOOK-0179,2026-06-05,95000,abono,transferencia
PAY-0179-SALDO,BOOK-0179,2026-06-09,380000,saldo final,transferencia
PAY-0181,BOOK-0181,2026-06-02,30000,abono,transferencia
PAY-0181-SALDO,BOOK-0181,2026-06-05,45000,saldo final,transferencia
PAY-0186,BOOK-0186,2026-06-14,15000,abono,debito
PAY-0187,BOOK-0187,2026-06-02,75000,abono,efectivo
PAY-0187-SALDO,BOOK-0187,2026-06-10,275000,saldo final,efectivo
PAY-0190,BOOK-0190,2026-05-20,55000,abono,transferencia
PAY-0190-SALDO,BOOK-0190,2026-05-23,185000,saldo final,transferencia
PAY-0195,BOOK-0195,2026-05-14,40000,abono,transferencia
PAY-0196,BOOK-0196,2026-06-12,15000,abono,debito
PAY-0196-SALDO,BOOK-0196,2026-06-16,25000,saldo final,debito
PAY-0199,BOOK-0199,2026-05-26,40000,abono,credito
PAY-0199-SALDO,BOOK-0199,2026-05-29,90000,saldo final,credito
PAY-0200,BOOK-0200,2026-06-03,30000,abono,debito
PAY-0200-SALDO,BOOK-0200,2026-06-06,55000,saldo final,debito
PAY-0202,BOOK-0202,2026-06-12,30000,abono,debito
PAY-0202-SALDO,BOOK-0202,2026-06-16,85000,saldo final,debito
PAY-0207,BOOK-0207,2026-06-16,30000,abono,transferencia
PAY-0207-SALDO,BOOK-0207,2026-06-19,50000,saldo final,transferencia
PAY-0209,BOOK-0209,2026-05-23,25000,abono,transferencia
PAY-0215,BOOK-0215,2026-05-15,15000,abono,debito
PAY-0215-SALDO,BOOK-0215,2026-05-19,25000,saldo final,debito
PAY-0217,BOOK-0217,2026-06-12,20000,abono,debito
PAY-0218,BOOK-0218,2026-05-18,55000,abono,efectivo
PAY-0218-SALDO,BOOK-0218,2026-05-21,225000,saldo final,efectivo
PAY-0219,BOOK-0219,2026-06-10,40000,abono,transferencia
PAY-0219-SALDO,BOOK-0219,2026-06-13,120000,saldo final,transferencia
PAY-0224,BOOK-0224,2026-05-19,50000,abono,debito
PAY-0224-SALDO,BOOK-0224,2026-05-22,130000,saldo final,debito
PAY-0227,BOOK-0227,2026-05-26,30000,abono,transferencia
PAY-0232,BOOK-0232,2026-05-29,50000,abono,credito
PAY-0232-SALDO,BOOK-0232,2026-06-02,125000,saldo final,credito
PAY-0233,BOOK-0233,2026-06-17,30000,abono,debito
PAY-0233-SALDO,BOOK-0233,2026-06-20,55000,saldo final,debito
PAY-0237,BOOK-0237,2026-06-16,50000,abono,credito
PAY-0237-SALDO,BOOK-0237,2026-06-24,180000,saldo final,credito
PAY-0239,BOOK-0239,2026-05-22,25000,abono,efectivo
PAY-0239-SALDO,BOOK-0239,2026-05-26,50000,saldo final,efectivo
PAY-0240,BOOK-0240,2026-05-31,25000,abono,debito
PAY-0240-SALDO,BOOK-0240,2026-06-03,65000,saldo final,debito
PAY-0242,BOOK-0242,2026-05-27,55000,abono,credito
PAY-0242-SALDO,BOOK-0242,2026-05-30,225000,saldo final,credito
PAY-0245,BOOK-0245,2026-06-18,55000,abono,debito
PAY-0249,BOOK-0249,2026-05-20,75000,abono,transferencia
PAY-0249-SALDO,BOOK-0249,2026-05-26,245000,saldo final,transferencia
PAY-0250,BOOK-0250,2026-06-03,55000,abono,transferencia
PAY-0250-SALDO,BOOK-0250,2026-06-09,210000,saldo final,transferencia
PAY-0251,BOOK-0251,2026-05-17,50000,abono,debito
PAY-0251-SALDO,BOOK-0251,2026-05-20,115000,saldo final,debito
PAY-0257,BOOK-0257,2026-05-18,25000,abono,efectivo
PAY-0257-SALDO,BOOK-0257,2026-05-21,45000,saldo final,efectivo
PAY-0258,BOOK-0258,2026-06-04,20000,abono,credito
PAY-0259,BOOK-0259,2026-06-19,50000,abono,transferencia
PAY-0259-SALDO,BOOK-0259,2026-06-25,125000,saldo final,transferencia
PAY-0260,BOOK-0260,2026-06-10,20000,abono,credito
PAY-0260-SALDO,BOOK-0260,2026-06-13,45000,saldo final,credito
PAY-0261,BOOK-0261,2026-06-02,30000,abono,transferencia
PAY-0262,BOOK-0262,2026-05-26,15000,abono,efectivo
PAY-0262-SALDO,BOOK-0262,2026-05-29,25000,saldo final,efectivo
PAY-0263,BOOK-0263,2026-05-13,30000,abono,efectivo
PAY-0263-SALDO,BOOK-0263,2026-05-16,60000,saldo final,efectivo
PAY-0266,BOOK-0266,2026-05-13,50000,abono,debito
PAY-0266-SALDO,BOOK-0266,2026-05-16,120000,saldo final,debito
PAY-0268,BOOK-0268,2026-06-05,25000,abono,debito
PAY-0268-SALDO,BOOK-0268,2026-06-09,45000,saldo final,debito
PAY-0269,BOOK-0269,2026-06-12,30000,abono,efectivo
PAY-0269-SALDO,BOOK-0269,2026-06-16,60000,saldo final,efectivo
PAY-0270,BOOK-0270,2026-06-14,30000,abono,efectivo
PAY-0270-SALDO,BOOK-0270,2026-06-17,55000,saldo final,efectivo
PAY-0273,BOOK-0273,2026-06-06,20000,abono,efectivo
PAY-0273-SALDO,BOOK-0273,2026-06-10,30000,saldo final,efectivo
PAY-0275,BOOK-0275,2026-05-21,65000,abono,debito
PAY-0275-SALDO,BOOK-0275,2026-05-26,250000,saldo final,debito
PAY-0276,BOOK-0276,2026-06-04,50000,abono,efectivo
PAY-0276-SALDO,BOOK-0276,2026-06-10,135000,saldo final,efectivo
PAY-0279,BOOK-0279,2026-06-07,15000,abono,efectivo
PAY-0279-SALDO,BOOK-0279,2026-06-10,30000,saldo final,efectivo
PAY-0281,BOOK-0281,2026-05-20,45000,abono,transferencia
PAY-0281-SALDO,BOOK-0281,2026-05-27,160000,saldo final,transferencia
PAY-0282,BOOK-0282,2026-05-28,50000,abono,transferencia
PAY-0282-SALDO,BOOK-0282,2026-06-04,175000,saldo final,transferencia
PAY-0286,BOOK-0286,2026-05-26,50000,abono,efectivo
PAY-0286-SALDO,BOOK-0286,2026-05-30,140000,saldo final,efectivo
PAY-0287,BOOK-0287,2026-06-06,30000,abono,transferencia
PAY-0288,BOOK-0288,2026-06-15,50000,abono,efectivo
PAY-0288-SALDO,BOOK-0288,2026-06-18,145000,saldo final,efectivo
PAY-0289,BOOK-0289,2026-06-02,30000,abono,credito
PAY-0289-SALDO,BOOK-0289,2026-06-05,60000,saldo final,credito
PAY-0290,BOOK-0290,2026-05-28,60000,abono,transferencia
PAY-0290-SALDO,BOOK-0290,2026-06-05,210000,saldo final,transferencia
PAY-0296,BOOK-0296,2026-06-15,90000,abono,debito
PAY-0296-SALDO,BOOK-0296,2026-06-18,350000,saldo final,debito
PAY-0300,BOOK-0300,2026-05-31,30000,abono,debito
PAY-0300-SALDO,BOOK-0300,2026-06-03,55000,saldo final,debito
PAY-0301,BOOK-0301,2026-05-21,35000,abono,debito
PAY-0301-SALDO,BOOK-0301,2026-05-27,95000,saldo final,debito
PAY-0316,BOOK-0316,2026-05-22,15000,abono,credito
PAY-0316-SALDO,BOOK-0316,2026-05-26,25000,saldo final,credito
PAY-0318,BOOK-0318,2026-05-24,75000,abono,efectivo
PAY-0318-SALDO,BOOK-0318,2026-05-28,265000,saldo final,efectivo
PAY-0319,BOOK-0319,2026-06-15,30000,abono,credito
PAY-0319-SALDO,BOOK-0319,2026-06-18,60000,saldo final,credito
PAY-0324,BOOK-0324,2026-05-27,50000,abono,transferencia
PAY-0327,BOOK-0327,2026-06-17,50000,abono,debito
PAY-0327-SALDO,BOOK-0327,2026-06-26,130000,saldo final,debito
PAY-0330,BOOK-0330,2026-06-07,35000,abono,credito
PAY-0330-SALDO,BOOK-0330,2026-06-11,95000,saldo final,credito
PAY-0331,BOOK-0331,2026-05-28,30000,abono,transferencia
PAY-0331-SALDO,BOOK-0331,2026-06-02,55000,saldo final,transferencia
PAY-0335,BOOK-0335,2026-05-20,35000,abono,efectivo
PAY-0335-SALDO,BOOK-0335,2026-05-28,90000,saldo final,efectivo
PAY-0337,BOOK-0337,2026-06-14,55000,abono,transferencia
PAY-0337-SALDO,BOOK-0337,2026-06-27,215000,saldo final,transferencia
PAY-0339,BOOK-0339,2026-06-03,55000,abono,efectivo
PAY-0339-SALDO,BOOK-0339,2026-06-11,225000,saldo final,efectivo
PAY-0340,BOOK-0340,2026-05-21,70000,abono,efectivo
PAY-0340-SALDO,BOOK-0340,2026-06-02,245000,saldo final,efectivo
PAY-0344,BOOK-0344,2026-06-14,30000,abono,debito
PAY-0344-SALDO,BOOK-0344,2026-06-17,80000,saldo final,debito
PAY-0345,BOOK-0345,2026-06-10,15000,abono,credito
PAY-0354,BOOK-0354,2026-06-09,30000,abono,credito
PAY-0354-SALDO,BOOK-0354,2026-06-12,60000,saldo final,credito
PAY-0355,BOOK-0355,2026-05-22,50000,abono,debito
PAY-0355-SALDO,BOOK-0355,2026-05-27,170000,saldo final,debito
PAY-0356,BOOK-0356,2026-05-15,30000,abono,debito
PAY-0362,BOOK-0362,2026-05-30,50000,abono,credito
PAY-0362-SALDO,BOOK-0362,2026-06-03,130000,saldo final,credito
PAY-0365,BOOK-0365,2026-06-02,15000,abono,credito
PAY-0365-SALDO,BOOK-0365,2026-06-05,25000,saldo final,credito
PAY-0369,BOOK-0369,2026-06-17,35000,abono,transferencia
PAY-0369-SALDO,BOOK-0369,2026-06-20,100000,saldo final,transferencia
PAY-0375,BOOK-0375,2026-06-08,15000,abono,debito
PAY-0375-SALDO,BOOK-0375,2026-06-11,30000,saldo final,debito
