reserva_id,solicitud_id,cliente_id,artista_id,fecha_reserva,fecha_agendada,horario_preferido,monto_final_clp,abono_clp,saldo_por_cobrar_clp,estado_pago
BOOK-0002,RES-0002,CLI-0002,ART-001,2026-06-01,2026-06-04,mediodia,45000,15000,30000,pagado
BOOK-0003,RES-0003,CLI-0003,ART-004,2026-06-12,2026-06-16,tarde,135000,40000,95000,pagado
BOOK-0008,RES-0008,CLI-0008,ART-001,2026-05-21,2026-05-26,tarde,120000,30000,90000,pagado
BOOK-0010,RES-0010,CLI-0010,ART-004,2026-05-20,2026-05-23,tarde,65000,25000,40000,pagado
BOOK-0011,RES-0011,CLI-0011,ART-006,2026-05-20,2026-05-23,tarde,65000,20000,45000,pagado
BOOK-0013,RES-0013,CLI-0013,ART-002,2026-05-24,2026-05-27,manana,105000,30000,75000,pagado
BOOK-0018,RES-0018,CLI-0018,ART-006,2026-05-17,2026-05-20,manana,455000,95000,360000,pagado
BOOK-0023,RES-0023,CLI-0023,ART-004,2026-05-20,2026-05-23,fin de semana,70000,25000,45000,pagado
BOOK-0028,RES-0028,CLI-0028,ART-003,2026-06-06,2026-06-09,tarde,170000,50000,120000,pagado
BOOK-0029,RES-0029,CLI-0029,ART-004,2026-06-03,2026-06-06,mediodia,95000,30000,65000,pagado
BOOK-0031,RES-0031,CLI-0031,ART-004,2026-05-22,2026-05-26,tarde,70000,25000,45000,pagado
BOOK-0032,RES-0032,CLI-0032,ART-005,2026-06-04,2026-06-09,manana,45000,15000,30000,abono recibido
BOOK-0042,RES-0042,CLI-0042,ART-002,2026-06-19,2026-06-23,tarde,135000,40000,95000,pagado
BOOK-0052,RES-0052,CLI-0052,ART-005,2026-06-03,2026-06-06,mediodia,45000,15000,30000,pagado
BOOK-0060,RES-0060,CLI-0060,ART-005,2026-05-18,2026-05-21,tarde,40000,15000,25000,pagado
BOOK-0061,RES-0061,CLI-0061,ART-006,2026-05-25,2026-05-28,tarde,270000,55000,215000,pagado
BOOK-0065,RES-0065,CLI-0065,ART-002,2026-05-26,2026-05-29,manana,110000,30000,80000,pagado
BOOK-0067,RES-0067,CLI-0067,ART-006,2026-05-18,2026-05-21,manana,315000,75000,240000,pagado
BOOK-0069,RES-0069,CLI-0069,ART-004,2026-05-29,2026-06-02,manana,175000,50000,125000,pagado
BOOK-0070,RES-0070,CLI-0070,ART-006,2026-06-17,2026-06-20,manana,320000,75000,245000,pagado
BOOK-0076,RES-0076,CLI-0076,ART-002,2026-06-05,2026-06-09,fin de semana,440000,95000,345000,pagado
BOOK-0081,RES-0081,CLI-0081,ART-006,2026-06-14,2026-06-17,mediodia,75000,25000,50000,pagado
BOOK-0085,RES-0085,CLI-0085,ART-006,2026-06-11,2026-06-16,tarde,245000,55000,190000,pagado
BOOK-0090,RES-0090,CLI-0090,ART-004,2026-05-16,2026-05-19,mediodia,115000,30000,85000,pagado
BOOK-0092,RES-0092,CLI-0092,ART-001,2026-05-23,2026-05-26,fin de semana,45000,15000,30000,pagado
BOOK-0093,RES-0093,CLI-0093,ART-004,2026-06-17,2026-06-20,tarde,90000,25000,65000,abono recibido
BOOK-0095,RES-0095,CLI-0095,ART-003,2026-06-19,2026-06-23,fin de semana,85000,30000,55000,abono recibido
BOOK-0097,RES-0097,CLI-0097,ART-005,2026-06-15,2026-06-18,tarde,120000,35000,85000,pagado
BOOK-0104,RES-0104,CLI-0104,ART-003,2026-06-05,2026-06-09,tarde,40000,15000,25000,pagado
BOOK-0105,RES-0105,CLI-0105,ART-006,2026-06-01,2026-06-04,mediodia,175000,45000,130000,pagado
BOOK-0110,RES-0110,CLI-0110,ART-002,2026-05-13,2026-05-16,tarde,175000,45000,130000,abono recibido
BOOK-0113,RES-0113,CLI-0113,ART-003,2026-05-31,2026-06-03,tarde,90000,30000,60000,pagado
BOOK-0115,RES-0115,CLI-0115,ART-002,2026-05-31,2026-06-03,tarde,180000,50000,130000,pagado
BOOK-0118,RES-0118,CLI-0118,ART-001,2026-06-07,2026-06-10,mediodia,90000,30000,60000,pagado
BOOK-0119,RES-0119,CLI-0119,ART-001,2026-05-20,2026-05-23,tarde,250000,55000,195000,pagado
BOOK-0121,RES-0121,CLI-0121,ART-001,2026-05-20,2026-05-23,tarde,45000,15000,30000,abono recibido
