sesion_id,reserva_id,artista_id,fecha_agendada,fecha_realizada,duracion_horas,estado_sesion,estilo_tatuaje,zona_cuerpo,tamano
SES-0002,BOOK-0002,ART-001,2026-06-04,2026-06-04,1,realizada,lettering,pecho,pequeno
SES-0003,BOOK-0003,ART-004,2026-06-16,2026-06-16,2.25,realizada,lettering color,espalda,mediano
SES-0008,BOOK-0008,ART-001,2026-05-26,2026-05-26,3,realizada,minimalista,cuello,mediano
SES-0010,BOOK-0010,ART-004,2026-05-23,2026-05-23,1.25,realizada,tradicional color,antebrazo,pequeno
SES-0011,BOOK-0011,ART-006,2026-05-23,2026-05-23,1,realizada,blackwork,antebrazo,pequeno
SES-0013,BOOK-0013,ART-002,2026-05-27,2026-05-27,2.25,realizada,geometrico,hombro,mediano
SES-0018,BOOK-0018,ART-006,2026-05-20,2026-05-20,6,realizada,geometrico,costillas,sesion larga
SES-0023,BOOK-0023,ART-004,2026-05-23,2026-05-23,1,realizada,tradicional color,mano/dedos,pequeno
SES-0028,BOOK-0028,ART-003,2026-06-09,2026-06-09,3.5,realizada,minimalista color,cuello,grande
SES-0029,BOOK-0029,ART-004,2026-06-06,2026-06-06,1.75,realizada,tradicional color,mano/dedos,mediano
SES-0031,BOOK-0031,ART-004,2026-05-26,2026-05-26,1.25,realizada,blackwork,pierna,pequeno
SES-0032,BOOK-0032,ART-005,2026-06-09,,1,reprogramada,minimalista,mano/dedos,pequeno
SES-0042,BOOK-0042,ART-002,2026-06-23,2026-06-23,2.25,realizada,tradicional,pecho,mediano
SES-0052,BOOK-0052,ART-005,2026-06-06,2026-06-06,0.75,realizada,geometrico color,brazo,pequeno
SES-0060,BOOK-0060,ART-005,2026-05-21,2026-05-21,0.75,realizada,geometrico color,brazo,pequeno
SES-0061,BOOK-0061,ART-006,2026-05-28,2026-05-28,4.5,realizada,geometrico,cuello,grande
SES-0065,BOOK-0065,ART-002,2026-05-29,2026-05-29,2.25,realizada,geometrico,antebrazo,mediano
SES-0067,BOOK-0067,ART-006,2026-05-21,2026-05-21,4.5,realizada,geometrico,espalda,grande
SES-0069,BOOK-0069,ART-004,2026-06-02,2026-06-02,3.5,realizada,lettering,antebrazo,grande
SES-0070,BOOK-0070,ART-006,2026-06-20,2026-06-20,5.5,realizada,tradicional color,hombro,grande
SES-0076,BOOK-0076,ART-002,2026-06-09,2026-06-09,6,realizada,tradicional,costillas,sesion larga
SES-0081,BOOK-0081,ART-006,2026-06-17,2026-06-17,1.25,realizada,blackwork,hombro,pequeno
SES-0085,BOOK-0085,ART-006,2026-06-16,2026-06-16,3.5,realizada,tradicional,mano/dedos,grande
SES-0090,BOOK-0090,ART-004,2026-05-19,2026-05-19,1.75,realizada,blackwork,cuello,mediano
SES-0092,BOOK-0092,ART-001,2026-05-26,2026-05-26,1.25,realizada,fine line,tobillo,pequeno
SES-0093,BOOK-0093,ART-004,2026-06-20,,1.75,no asistio,lettering,espalda,mediano
SES-0095,BOOK-0095,ART-003,2026-06-23,,2.25,reprogramada,fine line,antebrazo,mediano
SES-0097,BOOK-0097,ART-005,2026-06-18,2026-06-18,3,realizada,fine line,mano/dedos,mediano
SES-0104,BOOK-0104,ART-003,2026-06-09,2026-06-09,0.75,realizada,geometrico,espalda,pequeno
SES-0105,BOOK-0105,ART-006,2026-06-04,2026-06-04,2.25,realizada,tradicional,pecho,mediano
SES-0110,BOOK-0110,ART-002,2026-05-16,,3,reprogramada,geometrico,hombro,mediano
SES-0113,BOOK-0113,ART-003,2026-06-03,2026-06-03,1.75,realizada,geometrico,hombro,mediano
SES-0115,BOOK-0115,ART-002,2026-06-03,2026-06-03,3,realizada,geometrico,pecho,mediano
SES-0118,BOOK-0118,ART-001,2026-06-10,2026-06-10,2.25,realizada,minimalista color,muneca,mediano
SES-0119,BOOK-0119,ART-001,2026-05-23,2026-05-23,5,realizada,minimalista,pecho,sesion larga
SES-0121,BOOK-0121,ART-001,2026-05-23,,1.25,reprogramada,minimalista,hombro,pequeno
SES-0122,BOOK-0122,ART-005,2026-06-09,2026-06-09,1.25,realizada,fine line,cuello,pequeno
SES-0123,BOOK-0123,ART-006,2026-05-19,2026-05-19,1.75,realizada,blackwork,cuello,mediano
SES-0126,BOOK-0126,ART-005,2026-05-19,2026-05-19,5.5,realizada,geometrico color,hombro,grande
SES-0127,BOOK-0127,ART-004,2026-06-05,2026-06-05,3.5,realizada,blackwork,costillas,grande
SES-0128,BOOK-0128,ART-003,2026-06-03,2026-06-03,0.75,realizada,geometrico,antebrazo,pequeno
SES-0131,BOOK-0131,ART-001,2026-06-02,2026-06-02,2.25,realizada,minimalista,pierna,mediano
SES-0132,BOOK-0132,ART-003,2026-06-09,2026-06-09,0.75,realizada,minimalista,costillas,pequeno
SES-0135,BOOK-0135,ART-004,2026-06-23,2026-06-23,5.5,realizada,blackwork,muneca,grande
SES-0139,BOOK-0139,ART-005,2026-05-20,2026-05-20,3,realizada,geometrico color,pierna,mediano
SES-0142,BOOK-0142,ART-001,2026-06-16,2026-06-16,1.25,realizada,fine line,costillas,pequeno
SES-0145,BOOK-0145,ART-005,2026-05-20,2026-05-20,1.25,realizada,geometrico,cuello,pequeno
SES-0146,BOOK-0146,ART-006,2026-06-02,2026-06-02,3,realizada,tradicional color,muneca,mediano
SES-0147,BOOK-0147,ART-003,2026-06-13,2026-06-13,2.25,realizada,fine line,brazo,mediano
SES-0148,BOOK-0148,ART-003,2026-05-20,,5,reprogramada,fine line,hombro,sesion larga
SES-0149,BOOK-0149,ART-004,2026-05-23,,1,reprogramada,lettering,cuello,pequeno
SES-0155,BOOK-0155,ART-006,2026-05-27,2026-05-27,2.25,realizada,geometrico,mano/dedos,mediano
SES-0158,BOOK-0158,ART-002,2026-06-23,2026-06-23,3,realizada,blackwork,costillas,mediano
SES-0159,BOOK-0159,ART-002,2026-05-29,2026-05-29,1.75,realizada,geometrico,tobillo,mediano
SES-0160,BOOK-0160,ART-005,2026-05-27,2026-05-27,4.5,realizada,geometrico,mano/dedos,grande
SES-0162,BOOK-0162,ART-004,2026-06-13,2026-06-13,1.75,realizada,blackwork,muneca,mediano
