ean,producto,marca,super,precio,url,n_supers,mas_barato,es_mas_barato,ahorro_clp,ahorro_pct
7802575040213,Pasta tortellini Carozzi relleno queso 400 g,Carozzi,Unimarc,2050,https://unimarc.myvtex.com/tortellini-c-queso-carozzi-400-gr/p,4,Unimarc,1,810,28.3
7802575040213,Pasta tortellini Carozzi relleno queso 400 g,Carozzi,SantaIsabel,2840,https://santaisabel.myvtex.com/tortellini-carozzi-bolsa-400-g-queso-2/p,4,Unimarc,0,810,28.3
7802575040213,Pasta tortellini Carozzi relleno queso 400 g,Carozzi,Jumbo,2860,https://jumbo.myvtex.com/tortellini-carozzi-bolsa-400-g-queso-2/p,4,Unimarc,0,810,28.3
7802575040213,Pasta tortellini Carozzi relleno queso 400 g,Carozzi,Alvi,2560,https://alvicl.myvtex.com/pasta-tortellini-carozzi-relleno-queso-400-g/p,4,Unimarc,0,810,28.3
8437013325264,"Energética Fuerza Importada, Lata 500ml",,Cugat,1190,https://cugat.cl/producto/bebida-energetica-fuerza-500-ml/,1,,0,0,0
3664346339964,Terrys Chocolate Orange Mint 145 g,Terrys,Jumbo,4490,https://jumbo.myvtex.com/terrys-chocolate-orange-mint-145g-1995327/p,1,,0,0,0
4001518115787,Galletas Griesson Kekszeit 397 g,Griesson,SantaIsabel,7990,https://santaisabel.myvtex.com/galletas-griesson-kekszeit-397-g-1929230/p,1,,0,0,0
7807910032571,Aceite Vegetal 1.5 L,Cuisine & Co,SantaIsabel,1990,https://santaisabel.myvtex.com/aceite-vegetal-1-5-l-cuisine-and-co-1800912/p,1,,0,0,0
7807910019350,Salsa de Soya 165 cc,Santa Isabel MP,SantaIsabel,999,https://santaisabel.myvtex.com/salsa-soya-santa-isabel-165cc-s/p,1,,0,0,0
7802820037036,Pack Néctar Andina del Valle naranja 6 un de 200 ml,Andina,Unimarc,2000,https://unimarc.myvtex.com/nectar-andina-200-cc-naranja-6-un/p,1,,0,0,0
7802225640770,"Galletas Bon o Bon de Arcor, 95g",Bon O Bon,Cugat,1990,https://cugat.cl/producto/galletas-bon-o-bon-arcor-95-gr/,5,Jumbo,0,600,30.2
7802225640770,"Galletas Bon o Bon de Arcor, 95g",Bon O Bon,Unimarc,1590,https://unimarc.myvtex.com/galletas-bon-o-bon-arcor-95-g/p,5,Jumbo,0,600,30.2
7802225640770,"Galletas Bon o Bon de Arcor, 95g",Bon O Bon,SantaIsabel,1550,https://santaisabel.myvtex.com/galletas-arcor-95-g-bon-o-bon/p,5,Jumbo,0,600,30.2
7802225640770,"Galletas Bon o Bon de Arcor, 95g",Bon O Bon,Jumbo,1390,https://jumbo.myvtex.com/galletas-arcor-95-g-bon-o-bon/p,5,Jumbo,1,600,30.2
7802225640770,"Galletas Bon o Bon de Arcor, 95g",Bon O Bon,Alvi,1410,https://alvicl.myvtex.com/galletas-arcor-bon-o-bon-95-g/p,5,Jumbo,0,600,30.2
8445291560369,Crema sin lactosa Nestlé tetra 200 ml,Nestle,Unimarc,1550,https://unimarc.myvtex.com/crema-sin-lactosa-nestle-200ml/p,2,SantaIsabel,0,80,5.2
8445291560369,Crema sin lactosa Nestlé tetra 200 ml,Nestle,SantaIsabel,1470,https://santaisabel.myvtex.com/crema-de-lech-200g-2040601/p,2,SantaIsabel,1,80,5.2
7804639690167,Vino Reserva Especial Cabernet Sauvignon cc,Calcu,Jumbo,6799,https://jumbo.myvtex.com/vino-reserva-especial-cabernet-sauvignon-cc-1598582/p,1,,0,0,0
